album_name,track_name,track_number,popularity,duration_min,explicit,release_date
Outside,Ye,6,69,3.8603,True,2018-01-26
Outside,Giddem,7,34,3.5305333333333335,False,2018-01-26
Outside,Streets of Africa,8,29,3.50785,True,2018-01-26
Outside,Rock Your Body,9,42,3.687133333333333,False,2018-01-26
Outside,Devil in California,10,28,3.2512333333333334,True,2018-01-26
Outside,Calm Down,11,39,4.42735,True,2018-01-26
Outside,Outside (feat. Mabel),12,29,3.6375,False,2018-01-26
Redemption,Pree Me,1,32,3.341683333333333,True,2016-09-23
Redemption,Fa so Lati Do,2,28,3.0366666666666666,True,2016-09-23
Redemption,Boshe Nlo,3,27,4.027333333333333,False,2016-09-23
Redemption,Mary Jane,4,27,3.3177833333333333,True,2016-09-23
Redemption,Body to Body #Ycd,5,26,3.248083333333333,True,2016-09-23
Redemption,Plenty Song,6,24,2.7345333333333333,False,2016-09-23
Redemption,We On,7,26,2.92355,False,2016-09-23
On a Spaceship,Intro,1,19,1.8046666666666666,False,2015-11-25
On a Spaceship,Oluwa Burna,2,23,2.9922166666666667,False,2015-11-25
On a Spaceship,The Realest,3,25,3.0131,False,2015-11-25
On a Spaceship,Mine Tonight (feat. Nyanda),4,20,3.7671,False,2015-11-25
On a Spaceship,Ring Ring,5,21,3.514,False,2015-11-25
On a Spaceship,Single (feat. Wizkid),6,24,3.5171,False,2015-11-25
On a Spaceship,Sampudi,7,20,3.7146666666666666,False,2015-11-25
On a Spaceship,As e Be (Skit),8,17,0.7171,False,2015-11-25
On a Spaceship,Rizzla,9,36,3.5337666666666667,True,2015-11-25
On a Spaceship,Jealousy,10,22,3.5671,False,2015-11-25
On a Spaceship,Duro Ni Be (feat. Phyno),11,22,3.4671,True,2015-11-25
On a Spaceship,Another One,12,20,3.3671,False,2015-11-25
On a Spaceship,Before (feat. Flavour),13,18,3.521333333333333,False,2015-11-25
On a Spaceship,Trance,14,18,3.6113333333333335,False,2015-11-25
On a Spaceship,On a Very Good Day (feat. Wande Coal),15,21,3.72355,False,2015-11-25
On a Spaceship,"Birthday (feat. AKA, Kid X & Da Les)",16,17,7.312216666666667,True,2015-11-25
On a Spaceship,Gone,17,19,3.600433333333333,False,2015-11-25
On a Spaceship,Mi O Ni Gba,18,17,2.9671,False,2015-11-25
On a Spaceship,If People Must Die,19,25,3.945333333333333,False,2015-11-25
On a Spaceship,Soke,20,30,3.6477666666666666,False,2015-11-25
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Intro: My Life,1,26,3.2333333333333334,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),No No No,2,28,2.62855,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Say So,3,25,4.6004,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Abeg Abeg - Remix,4,31,3.5416333333333334,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Na so E Suppose Be,5,25,4.266883333333333,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Run My Race,6,32,4.24,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Boom Boom Boom,7,21,3.84905,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),#Yawadey,8,40,3.96115,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Ma Loda Ma Motto,9,20,3.066666666666667,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Always Love You,10,20,4.384,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Tonight,11,40,4.166666666666667,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Like to Party,12,30,4.158483333333334,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Smooth Sailing,13,26,4.108016666666667,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),My Cry,14,25,3.924933333333333,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Guilty,15,22,3.6,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Dem No Know,16,25,3.8,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Don't Run,17,26,3.3780666666666668,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Jahs Love is True,18,34,4.16,False,2013-08-12
L.I.F.E - Leaving an Impact for Eternity (Deluxe Edition),Outro: Remember Me,19,25,3.6829666666666667,False,2013-08-12
